date,symbol,market_name,open_interest,comm_long,comm_short,comm_net,cot_index_26w,cot_index_52w,zero_line,bias
2025-04-01,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,257117,135260,163719,-28459,57.7,43.4,sell,neutral
2025-04-01,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,412519,288403,279547,8856,80.8,45.2,buy,neutral
2025-04-01,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,74497,47045,43420,3625,100.0,100.0,buy,bull
2025-04-08,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2349923,1685499,1691282,-5783,100.0,82.9,sell,bull
2025-04-08,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,266758,148833,174828,-25995,64.2,48.3,sell,neutral
2025-04-08,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,453401,323667,319610,4057,72.7,40.6,buy,neutral
2025-04-08,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,73838,48549,48130,419,84.9,87.9,buy,bull
2025-04-15,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2197559,1629365,1590030,39335,100.0,99.4,buy,bull
2025-04-15,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,249669,134897,162111,-27214,61.7,45.9,sell,neutral
2025-04-15,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,454242,325603,326944,-1341,59.7,35.6,sell,neutral
2025-04-15,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,73931,50250,47004,3246,98.2,98.6,buy,bull
2025-04-22,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2224655,1651591,1610864,40727,100.0,99.9,buy,bull
2025-04-22,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,257271,133102,167535,-34433,46.1,31.5,sell,neutral
2025-04-22,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,464123,334265,339060,-4795,50.6,32.3,sell,neutral
2025-04-22,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,78992,52324,52107,217,84.0,87.1,buy,bull
2025-04-29,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2150370,1599127,1555546,43581,100.0,100.0,buy,bull
2025-04-29,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,265803,138038,157073,-19035,93.5,62.2,sell,neutral
2025-04-29,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,459912,333928,330774,3154,66.3,39.8,buy,neutral
2025-04-29,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,78341,50136,52773,-2637,70.6,76.4,sell,neutral
2025-05-06,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2149796,1586867,1540847,46020,100.0,100.0,buy,bull
2025-05-06,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,280451,141615,159774,-18159,96.2,63.9,sell,neutral
2025-05-06,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,449683,331976,313133,18843,97.2,54.6,buy,neutral
2025-05-06,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,76175,48033,51538,-3505,66.5,73.1,sell,neutral
2025-05-13,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2142617,1576417,1513671,62746,100.0,100.0,buy,bull
2025-05-13,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,307490,162702,168509,-5807,100.0,88.5,sell,bull
2025-05-13,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,443279,335022,304161,30861,100.0,65.9,buy,neutral
2025-05-13,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,77515,47987,52287,-4300,60.5,70.1,sell,neutral
2025-05-20,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2130048,1575299,1523477,51822,96.1,96.3,buy,bull
2025-05-20,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,301110,160165,160508,-343,100.0,99.4,sell,bull
2025-05-20,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,435666,315935,306586,9349,61.0,45.6,buy,neutral
2025-05-20,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,78995,49297,53016,-3719,63.4,67.3,sell,neutral
2025-05-27,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2129520,1565769,1558592,7177,80.1,81.2,buy,bull
2025-05-27,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,295593,148665,157729,-9064,82.5,82.0,sell,bull
2025-05-27,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,434066,312937,305896,7041,56.8,43.5,buy,neutral
2025-05-27,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,80388,46548,54532,-7984,42.2,48.4,sell,neutral
2025-06-03,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2140283,1571442,1561439,10003,81.1,82.1,buy,bull
2025-06-03,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,298126,151501,162916,-11415,77.8,77.4,sell,neutral
2025-06-03,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,445327,318071,301878,16193,73.4,52.1,buy,neutral
2025-06-03,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,85461,47752,57218,-9466,34.8,41.8,sell,neutral
2025-06-10,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2241820,1687259,1627789,59470,98.8,98.9,buy,bull
2025-06-10,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,298671,150773,165000,-14227,70.0,72.2,sell,neutral
2025-06-10,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,447044,324018,293525,30493,99.3,65.6,buy,neutral
2025-06-10,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,88212,49602,58535,-8933,25.8,44.1,sell,neutral
2025-06-17,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2473205,1849701,1731629,118072,100.0,100.0,buy,bull
2025-06-17,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,334937,176194,186275,-10081,78.7,80.5,sell,bull
2025-06-17,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,501995,361103,322294,38809,100.0,73.4,buy,neutral
2025-06-17,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,103343,59924,69549,-9625,11.3,41.1,sell,neutral
2025-06-24,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,1898304,1386332,1304541,81791,89.2,89.6,buy,bull
2025-06-24,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,259948,132978,155716,-22738,51.0,55.1,sell,neutral
2025-06-24,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,389754,275226,249436,25790,77.5,61.2,buy,neutral
2025-06-24,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,82269,51685,57854,-6169,34.5,56.4,sell,neutral
2025-07-01,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,1900931,1368735,1365423,3312,65.7,67.2,buy,neutral
2025-07-01,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,274168,141599,182721,-41122,10.9,18.2,sell,bear
2025-07-01,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,388073,290614,237590,53024,100.0,94.1,buy,bull
2025-07-01,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,86845,53418,60082,-6664,27.0,54.2,sell,neutral
2025-07-08,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,1915351,1386090,1323412,62678,83.4,84.2,buy,bull
2025-07-08,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,279888,141437,185838,-44401,3.7,11.7,sell,bear
2025-07-08,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,397829,303809,242143,61666,100.0,100.0,buy,bull
2025-07-08,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,85138,51607,59108,-7501,16.0,50.5,sell,neutral
2025-07-15,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,1952930,1426832,1329228,97604,93.9,94.2,buy,bull
2025-07-15,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,281893,145299,189224,-43925,4.7,12.6,sell,bear
2025-07-15,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,391568,302519,236908,65611,100.0,100.0,buy,bull
2025-07-15,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,83480,49247,54297,-5050,34.5,61.4,sell,neutral
2025-07-22,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,1937915,1423958,1325384,98574,94.2,94.4,buy,bull
2025-07-22,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,281535,151591,190926,-39335,14.8,21.8,sell,neutral
2025-07-22,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,398690,312022,243725,68297,100.0,100.0,buy,bull
2025-07-22,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,86201,52117,54880,-2763,51.8,71.6,sell,neutral
2025-07-29,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,1965169,1421979,1340235,81744,89.1,89.6,buy,bull
2025-07-29,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,293645,156451,199289,-42838,7.1,14.8,sell,bear
2025-07-29,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,406989,318638,244873,73765,100.0,100.0,buy,bull
2025-07-29,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,86736,55266,53672,1594,84.7,91.0,buy,bull
